,Channel Title,ZemenExpress,ID,Message,Date,Media Path
4,Zemen Express®,@ZemenExpress,5341,"['Kei', 'Auto', 'hair', 'curler', 'ከ', '80', 'C', 'እስከ', '220', 'c', 'ሙቀት', 'ያለው', '360', 'የሚሽከረከር', 'ለሁሉም', 'የፀጉር', 'አይነት', 'የሚስማማ', 'ዋጋ', '1600', 'ብር', 'ውስን', 'ፍሬ', 'ያለው', 'አድራሻ', 'ቁ', '1', 'መገናኛ', 'መሰረት', 'ደፋር', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ቢሮ', 'ቁ', 'S05', 'S06', 'ቁ', '2', 'ፒያሳ', 'ጊዮርጊስ', 'አደባባይ', 'ራመት_ታቦር_ኦዳ_ህንፃ', '1ኛ', 'ፎቅ', 'ሱቅ', 'ቁ', 'G', 'ፒያሳ', 'ቅርንጫፍ']",2024-09-29 08:17:03+00:00,photos\@ZemenExpress_5341.jpg
5,Zemen Express®,@ZemenExpress,5340,"['በረፍት', 'ቀንዎ', 'ሱቅ', 'ላይ', 'መስተናገድ', 'ለምትፈልጉ', 'ውድ', 'ደንበኞቻችን', 'ነገ', 'ከጠዋቱ', '4', '30', '_', 'ቀኑ', '11', '00', 'ድረስ', 'ሱቃችን', 'ክፍት', 'ሁኖ', 'ይጠብቅዎታል', 'ሱቅ', 'መተው', 'መግዛት', 'ላልቻላችሁ', 'በሞተረኞች', 'ያሉበት', 'እናደርሳለን', 'ዘወትር', 'ሰኞ', '_ቅዳሜ', 'ከጠዋቱ', '2', '30', 'እስከ', 'ምሽቱ', '2', '00', 'ድረስ', 'ክፍት', 'መሆኑን', 'እንገልፃለን', 'አድራሻ', 'ቁ', '1', 'መገናኛ', 'መሰረት', 'ደፋር', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ቢሮ', 'ቁ', 'S05', 'S06', 'ቁ', '2', 'ፒያሳ', 'ጊዮርጊስ', 'አደባባይ', 'ራመት_ታቦር_ኦዳ_ህንፃ', '1ኛ', 'ፎቅ', 'ሱቅ', 'ቁ', 'G', 'ፒያሳ', 'ቅርንጫፍ']",2024-09-28 16:44:37+00:00,photos\@ZemenExpress_5340.jpg
8,Zemen Express®,@ZemenExpress,5337,"['Baby', 'Feeding', 'Bottle', 'Spoon', 'with', 'Container', 'Baby', 'Food', 'Feeder', 'High', 'Quality', 'የህፃናት', 'መመገቢያ', 'ጡጦ', 'Silicone', 'Squeeze', 'Spoon', 'Feeder', 'for', 'Infant', 'Food', 'Dispensing', 'and', 'Feeding', 'Safe', 'Material', 'Filterable', 'Food', 'Strong', 'Sealing', 'Easy', 'to', 'Use', 'ዋጋ', '400', 'ብር', 'ውስን', 'ፍሬ', 'ያለው', 'አድራሻ', 'ቁ', '1', 'መገናኛ', 'መሰረት', 'ደፋር', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ቢሮ', 'ቁ', 'S05', 'S06', 'ቁ', '2', 'ፒያሳ', 'ጊዮርጊስ', 'አደባባይ', 'ራመት_ታቦር_ኦዳ_ህንፃ', '1ኛ', 'ፎቅ', 'ሱቅ', 'ቁ', 'G', 'ፒያሳ', 'ቅርንጫፍ']",2024-09-28 04:23:36+00:00,photos\@ZemenExpress_5337.jpg
10,Zemen Express®,@ZemenExpress,5335,"['ለመላው', 'የክርስትና', 'እምነት', 'ተከታዮች', 'በሙሉ', 'እንኳን', 'ለብርሃነ', 'መስቀሉ', 'በሰላም', 'አደረሳችሁ', 'አደረሰን', 'በዓሉ', 'የሰላም', 'የጤና', 'የፍቅር', 'የደስታ', 'የመተሳሰብ', 'በዓል', 'ይሁንልን', 'መልካም', 'የመስቀል', 'በዓል']",2024-09-27 07:09:36+00:00,photos\@ZemenExpress_5335.jpg
11,Zemen Express®,@ZemenExpress,5334,"['Korean', 'Body', 'Scrub', 'Sponge', 'የሞተ', 'ቆዳን', 'እንዲሁም', 'ቆሻሻን', 'ለማፅዳት', 'ተመራጭ', 'ዋጋ', '200', 'ብር', 'ውስን', 'ፍሬ', 'ያለው', 'አድራሻ', 'ቁ', '1', 'መገናኛ', 'መሰረት', 'ደፋር', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ቢሮ', 'ቁ', 'S05', 'S06', 'ቁ', '2', 'ፒያሳ', 'ጊዮርጊስ', 'አደባባይ', 'ራመት_ታቦር_ኦዳ_ህንፃ', '1ኛ', 'ፎቅ', 'ሱቅ', 'ቁ', 'G', 'ፒያሳ', 'ቅርንጫፍ']",2024-09-26 10:04:28+00:00,
12,Zemen Express®,@ZemenExpress,5333,"['Korean', 'Body', 'Scrub', 'Sponge', 'የሞተ', 'ቆዳን', 'እንዲሁም', 'ቆሻሻን', 'ለማፅዳት', 'ተመራጭ', 'ዋጋ', '200', 'ብር', 'ውስን', 'ፍሬ', 'ያለው', 'አድራሻ', 'ቁ', '1', 'መገናኛ', 'መሰረት', 'ደፋር', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ቢሮ', 'ቁ', 'S05', 'S06', 'ቁ', '2', 'ፒያሳ', 'ጊዮርጊስ', 'አደባባይ', 'ራመት_ታቦር_ኦዳ_ህንፃ', '1ኛ', 'ፎቅ', 'ሱቅ', 'ቁ', 'G', 'ፒያሳ', 'ቅርንጫፍ']",2024-09-26 10:04:14+00:00,
13,Zemen Express®,@ZemenExpress,5332,"['Stainless', 'Steel', 'Shoes', 'Rack', 'ከብረት', 'የተሰራ', 'ጫማ', 'የተለያዩ', 'ዕቃወች', 'ማስቀመጫ', 'ለመገጣጠም', 'ቀላል', 'High', 'Quality', 'ባለ', 'ስድስት', 'መደርደሪያ', 'ያለው', 'Size', '55', '26', '114', 'ዋጋ', '2250', 'ብር', 'አድራሻ', 'ቁ', '1', 'መገናኛ', 'መሰረት', 'ደፋር', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ቢሮ', 'ቁ', 'S05', 'S06', 'ቁ', '2', 'ፒያሳ', 'ጊዮርጊስ', 'አደባባይ', 'ራመት_ታቦር_ኦዳ_ህንፃ', '1ኛ', 'ፎቅ', 'ሱቅ', 'ቁ', 'G', 'ፒያሳ', 'ቅርንጫፍ']",2024-09-26 07:19:17+00:00,photos\@ZemenExpress_5332.jpg
14,Zemen Express®,@ZemenExpress,5330,"['Simple', 'Wardrobe', 'ዘመናዊ', 'የልብስ', 'ማስቀመጫ', 'ቁምሳጥን', 'በቀላሉ', 'የሚገጣጠም', 'የሚነቃቀል', 'ከቦታ', 'ወደ', 'ቦታ', 'ለማንቀሳቀስ', 'የሚመች', 'ቀላል', 'ክብደት', 'ያለው', 'ባለ', 'ዚፕ', 'የሸራ', 'ልብስ', 'ያለው', 'ፍሬሞቹ', 'የብረት', 'ቱቦዎች', 'የሆኑ', 'መገጣጠሚያዎቹ', 'ጠንካራ', 'ካርቦኔትድ', 'ፕላስቲኮች', 'የሆኑ', 'ለቤትዎ', 'ውበት', 'የሚሠጥ', 'ቦታ', 'የማይዝ', 'ሲሆን', 'ቁመት', '175', 'ሳ', 'ሜ', 'የጎን', 'ስፋት', '130', 'ሳ', 'ሜ', 'ወርድ', '45', 'ሳ', 'ሜ', 'ዋጋ', '3500', 'ብር', 'ውስን', 'ፍሬ', 'ያለው', 'አድራሻ', 'ቁ', '1', 'መገናኛ', 'መሰረት', 'ደፋር', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ቢሮ', 'ቁ', 'S05', 'S06', 'ቁ', '2', 'ፒያሳ', 'ጊዮርጊስ', 'አደባባይ', 'ራመት_ታቦር_ኦዳ_ህንፃ', '1ኛ', 'ፎቅ', 'ሱቅ', 'ቁ', 'G', 'ፒያሳ', 'ቅርንጫፍ']",2024-09-25 18:40:01+00:00,photos\@ZemenExpress_5330.jpg
19,Zemen Express®,@ZemenExpress,5324,"['Silicone', 'Forefoot', 'Soft', 'Pads', 'for', 'Pain', 'Note', 'If', 'your', 'gel', 'cushions', 'slip', 'and', 'bunch', 'try', 'wearing', 'snug', 'fitting', 'socks', 'to', 'help', 'keep', 'them', 'in', 'place', 'Specification', 'Colors', 'white', 'Material', 'silicone', 'gel', 'ዋጋ', '150', 'ብር', 'ውስን', 'ፍሬ', 'ያለው', 'አድራሻ', 'ቁ', '1', 'መገናኛ', 'መሰረት', 'ደፋር', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ቢሮ', 'ቁ', 'S05', 'S06', 'ቁ', '2', 'ፒያሳ', 'ጊዮርጊስ', 'አደባባይ', 'ራመት_ታቦር_ኦዳ_ህንፃ', '1ኛ', 'ፎቅ', 'ሱቅ', 'ቁ', 'G', 'ፒያሳ', 'ቅርንጫፍ']",2024-09-25 07:51:19+00:00,photos\@ZemenExpress_5324.jpg
25,Zemen Express®,@ZemenExpress,5318,"['Folding', 'Egg', 'Rack', 'ከፍተኛ', 'ጥራት', 'እስከ', '30', 'እንቁላል', 'መያዝ', 'የሚችል', 'ፍሪጅዎን', 'በስርአት', 'ለመጠቀም', 'ተመራጭ', 'ለመኖሪያ', 'ቤት', 'እንዲሁም', 'ለሬስቶራንት', 'የሚሆን', '24', 'egg', 'storage', 'holder', '3', 'layer', 'foldable', 'egg', 'organizer', 'kitchen', 'countertop', 'portable', 'egg', 'carrier', 'ዋጋ', '1', '100', 'ብር', 'ውስን', 'ፍሬ', 'ያለው', 'አድራሻ', 'ቁ', '1', 'መገናኛ', 'መሰረት', 'ደፋር', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ቢሮ', 'ቁ', 'S05', 'S06', 'ቁ', '2', 'ፒያሳ', 'ጊዮርጊስ', 'አደባባይ', 'ራመት_ታቦር_ኦዳ_ህንፃ', '1ኛ', 'ፎቅ', 'ሱቅ', 'ቁ', 'G', 'ፒያሳ', 'ቅርንጫፍ']",2024-09-25 06:43:51+00:00,photos\@ZemenExpress_5318.jpg
27,Zemen Express®,@ZemenExpress,5316,"['Automatic', 'Rebound', 'Healthy', 'Abdon', 'Wheel', 'Automatic', 'Rebound', 'Abdominal', 'Wheel', 'for', 'Core', 'Trainer', 'Workout', 'Ab', 'Workout', 'Equipnt', 'with', 'Elbow', 'Support', 'Ho', 'Abdominal', 'Exercise', 'Machine', 'and', 'Plank', 'Roller', 'in', 'One', 'የቦርጭ', 'ስብን', 'ለማቅለጥ', 'ፓክ', 'ለማውጣት', 'የሚመረጥ', 'በቀላሉ', 'የሆድ', 'የመቀመጫ', 'የጀርባ', 'ጡንቻዎትን', 'ለማሳሳብና', 'ለማጠንከር', 'ይረዳዎታል', 'የራሱ', 'መቁጠሪያ', 'ሰዓት', 'የተካተተለት', 'በቀላሉ', 'የተሸናቀጠ', 'ተክለሰውነትን', 'ይላበሱ', 'Reliable', 'Durable', 'Easy', 'Comfortable', 'Easy', 'to', 'use', 'Vast', 'Application', 'Excellent', 'Gift', 'Alternative', 'ዋጋ', '2600', 'ብር', 'ውስን', 'ፍሬ', 'ያለው', 'አድራሻ', 'ቁ', '1', 'መገናኛ', 'መሰረት', 'ደፋር', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ቢሮ', 'ቁ', 'S05', 'S06', 'ቁ', '2', 'ፒያሳ', 'ጊዮርጊስ', 'አደባባይ', 'ራመት_ታቦር_ኦዳ_ህንፃ', '1ኛ', 'ፎቅ', 'ሱቅ', 'ቁ', 'G', 'ፒያሳ', 'ቅርንጫፍ']",2024-09-24 14:41:13+00:00,
32,Zemen Express®,@ZemenExpress,5311,"['Led', 'Mirror', 'Light', 'ከሶኬት', 'በተጨማሪ', 'በባትሪ', 'የሚሰራ', 'የራሱ', 'ማስደገፊያ', 'ያለው', 'ተንቀሳቃሽ', '3', 'የብርሀን', 'ደረጃወች', 'ያሉት', 'ዋጋ', '650', 'ብር', 'ውስን', 'ፍሬ', 'ያለው', 'አድራሻ', 'ቁ', '1', 'መገናኛ', 'መሰረት', 'ደፋር', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ቢሮ', 'ቁ', 'S05', 'S06', 'ቁ', '2', 'ፒያሳ', 'ጊዮርጊስ', 'አደባባይ', 'ራመት_ታቦር_ኦዳ_ህንፃ', '1ኛ', 'ፎቅ', 'ሱቅ', 'ቁ', 'G', 'ፒያሳ', 'ቅርንጫፍ']",2024-09-24 07:02:21+00:00,photos\@ZemenExpress_5311.jpg
33,Zemen Express®,@ZemenExpress,5310,"['High', 'pressure', 'water', 'Gun', 'nozzle', 'መኪና', 'ለማጠብ', 'ግቢ', 'ለማፅዳት', 'ተመራጭ', 'የራሱ', 'መለዋወጫ', 'ያለው', 'ዋጋ', '800', 'ብር', 'ውስን', 'ፍሬ', 'ያለው', 'አድራሻ', 'ቁ', '1', 'መገናኛ', 'መሰረት', 'ደፋር', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ቢሮ', 'ቁ', 'S05', 'S06', 'ቁ', '2', 'ፒያሳ', 'ጊዮርጊስ', 'አደባባይ', 'ራመት_ታቦር_ኦዳ_ህንፃ', '1ኛ', 'ፎቅ', 'ሱቅ', 'ቁ', 'G', 'ፒያሳ', 'ቅርንጫፍ']",2024-09-23 15:07:19+00:00,photos\@ZemenExpress_5310.jpg
